Starting GA with 100 individuals for 100 generations...
Gen 1/100: Best fitness = 27509.9, Elective delay = 14590
Gen 2/100: Best fitness = 27509.9, Elective delay = 14590
Gen 3/100: Best fitness = 27509.9, Elective delay = 14590
Gen 4/100: Best fitness = 27509.9, Elective delay = 14590
Gen 5/100: Best fitness = 27509.9, Elective delay = 14590
Gen 6/100: Best fitness = 27509.9, Elective delay = 14590
Gen 7/100: Best fitness = 27509.9, Elective delay = 14590
Gen 8/100: Best fitness = 27509.9, Elective delay = 14590
Gen 9/100: Best fitness = 27509.9, Elective delay = 14590
Gen 10/100: Best fitness = 27509.9, Elective delay = 14590
Gen 11/100: Best fitness = 27509.9, Elective delay = 14590
Gen 12/100: Best fitness = 27509.9, Elective delay = 14590
Gen 13/100: Best fitness = 27509.9, Elective delay = 14590
Gen 14/100: Best fitness = 27509.9, Elective delay = 14590
Gen 15/100: Best fitness = 27509.9, Elective delay = 14590
Gen 16/100: Best fitness = 27509.9, Elective delay = 14590
Gen 17/100: Best fitness = 27509.9, Elective delay = 14590
Gen 18/100: Best fitness = 27509.9, Elective delay = 14590
Gen 19/100: Best fitness = 27509.9, Elective delay = 14590
Gen 20/100: Best fitness = 27509.9, Elective delay = 14590
Gen 21/100: Best fitness = 27509.9, Elective delay = 14590
Gen 22/100: Best fitness = 27509.9, Elective delay = 14590
Gen 23/100: Best fitness = 27509.9, Elective delay = 14590
Gen 24/100: Best fitness = 27509.9, Elective delay = 14590
Gen 25/100: Best fitness = 27509.9, Elective delay = 14590
Gen 26/100: Best fitness = 27509.9, Elective delay = 14590
Gen 27/100: Best fitness = 27509.9, Elective delay = 14590
Gen 28/100: Best fitness = 27509.9, Elective delay = 14590
Gen 29/100: Best fitness = 27509.9, Elective delay = 14590
Gen 30/100: Best fitness = 27509.9, Elective delay = 14590
Gen 31/100: Best fitness = 27509.9, Elective delay = 14590
Gen 32/100: Best fitness = 27509.9, Elective delay = 14590
Gen 33/100: Best fitness = 27509.9, Elective delay = 14590
Gen 34/100: Best fitness = 27509.9, Elective delay = 14590
Gen 35/100: Best fitness = 27509.9, Elective delay = 14590
Gen 36/100: Best fitness = 27509.9, Elective delay = 14590
Gen 37/100: Best fitness = 27509.9, Elective delay = 14590
Gen 38/100: Best fitness = 27509.9, Elective delay = 14590
Gen 39/100: Best fitness = 27509.9, Elective delay = 14590
Gen 40/100: Best fitness = 27509.9, Elective delay = 14590
Gen 41/100: Best fitness = 27509.9, Elective delay = 14590
Gen 42/100: Best fitness = 27509.9, Elective delay = 14590
Gen 43/100: Best fitness = 27509.9, Elective delay = 14590
Gen 44/100: Best fitness = 27509.9, Elective delay = 14590
Gen 45/100: Best fitness = 27509.9, Elective delay = 14590
Gen 46/100: Best fitness = 27509.9, Elective delay = 14590
Gen 47/100: Best fitness = 27509.9, Elective delay = 14590
