/*********************************************
 * OPL Data - Weekly Elective (Mon-Fri) TEST
 * - D = {1..5} represents Mon..Fri (elective only)
 * - Avail[s][d] includes OFF days (e.g., off after night shift)
 * - Skills are constant across days; Avail controls working days
 *
 * SurgeryTypes mapping (1..10):
 * 1 Adeno, 2 Micro, 3 Buccal, 4 Excision, 5 Septo,
 * 6 Modified, 7 Thyroi, 8 Rhino, 9 Endos, 10 Sleep
 *********************************************/

// Sets
P = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10,
     11, 12, 13, 14, 15, 16, 17, 18, 19, 20,
     21, 22, 23, 24, 25, 26, 27, 28, 29, 30,
     31, 32, 33, 34, 35, 36, 37, 38, 39, 40
     };

S = {1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12};

D = {1, 2, 3, 4, 5};          // Mon..Fri
// Operating rooms
K = {1, 2};
SurgeryTypes = {1,2,3,4,5,6,7,8,9,10};
//* 1 Adeno, 2 Micro, 3 Buccal, 4 Excision, 5 Septo,
//* 6 Modified, 7 Thyroi, 8 Rhino, 9 Endos, 10 Sleep

// Day horizon (minutes) for each elective day (Mon..Fri)
wh = [480, 480, 480, 480, 480];

// Surgeon availability: 1=works, 0=off
// Example: OFF day due to previous night shift
// Rows = surgeons 1..10, Cols = days 1..5 (Mon..Fri)
Avail = [
  [1, 0, 1, 1, 1],   // S1 
  [1, 1, 0, 1, 1],   // S2 
  [1, 1, 0, 1, 1],   // S3 
  [1, 0, 1, 1, 0],   // S4 
  [1, 1, 1, 0, 1],   // S5 
  [1, 1, 1, 1, 0],   // S6 
  [1, 1, 1, 0, 1],   // S7 
  [1, 1, 1, 0, 1],   // S8 
  [1, 1, 1, 1, 0],   // S9 
  [1, 1, 0, 1, 1],   // S10 
  [1, 1, 0, 1, 1],    // S11 
  [1, 1, 1, 1, 0]	 //S12
];

// Duration by surgery type (minutes)
DurationByType = [60, 65, 30, 30, 90, 100, 160, 90, 65, 30];

// Resting time by surgery type (minutes)
RestingTimeByType = [15, 15, 15, 15, 15, 30, 30, 20, 20, 10];

// OR turnover / cleaning time by surgery type (minutes)
PrepType = [10, 10, 10, 10, 10, 15, 15, 15, 15, 15];
// Patient -> SurgeryType mapping (20 patients = 2 cycles of 1..10)
PatientType = [
  4, 10, 2, 7, 1, 9, 3, 6, 8, 5,
  8, 3, 1, 6, 10, 5, 2,	9, 7, 4,
  2, 9, 5, 8, 3, 1, 10, 4, 6, 7,
  7, 1, 6, 4, 9, 10, 5, 8, 2, 3
]; //index 1 = patient 1 -> surgery type 1; index 2 = patient 2 -> surgery type 2; index 11 = patient 11 -> surrgery type 1.

/*** Qualification matrices (skills) by surgeon, type, and day ***/

// IsResponsible[s][t][d] = 1 if surgeon s can be MAIN for type t on day d
IsResponsible = [
  [  // Surgeon 1: 
      [0, 0, 0, 0, 0],  // type 1 - day 1 (Monday) -> day 5 (Friday)
      [0, 0, 0, 0, 0],  // type 2
      [1, 0, 1, 1, 1],  // type 3
      [0, 0, 0, 0, 0],  // type 4
      [0, 0, 0, 0, 0],  // type 5
      [0, 0, 0, 0, 0],  // type 6
      [0, 0, 0, 0, 0],  // type 7
      [0, 0, 0, 0, 0],  // type 8
      [0, 0, 0, 0, 0],  // type 9
      [1, 0, 1, 1, 1]   // type 10
  ],
  [  // Surgeon 2
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [1, 1, 0, 1, 1],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [1, 1, 0, 1, 1]
  ],
  [  // Surgeon 3
      [1, 1, 0, 1, 1],
      [1, 1, 0, 1, 1],
      [0, 0, 0, 0, 0],
      [1, 1, 0, 1, 1],
      [1, 1, 0, 1, 1],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0]
  ],
  [  // Surgeon 4
      [1, 0, 1, 1, 0],
      [1, 0, 1, 1, 0],
      [0, 0, 0, 0, 0],
      [1, 0, 1, 1, 0],
      [1, 0, 1, 1, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0]
  ],
  [  // Surgeon 5
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [1, 1, 1, 0, 1],
      [1, 1, 1, 0, 1],
      [0, 0, 0, 0, 0],  // type 8
      [0, 0, 0, 0, 0],   // type 9
      [0, 0, 0, 0, 0]
  ],
  [  // Surgeon 6: 
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [1, 1, 1, 1, 0],   // type 6
      [1, 1, 1, 1, 0],   // type 7
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0]
  ],
  [  // Surgeon 7: 
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],   // type 7
      [1, 1, 1, 0, 1],
      [1, 1, 1, 0, 1],
      [0, 0, 0, 0, 0]
  ],
  [  // Surgeon 8: 
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],   // type 7
      [1, 1, 1, 0, 1],
      [1, 1, 1, 0, 1],
      [0, 0, 0, 0, 0]
  ],
  [  // Surgeon 9: never MAIN
      [0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],
      [0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0]
  ],
  [  // Surgeon 10: never MAIN
      [0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],[0, 0, 0, 0, 0],
